Country	City	PM10	Year	Notes	Notes	PM2	Year
Afghanistan	Kabul	260	2009	"1 station, 1 station: urban"	measured data	86	2009
Afghanistan	Mazar-e Sharif	334	2009	"1 station, 1 station: urban outskirts"	measured data	68	2009
Albania	TIRANA	32	2013	"1 station, traffic, urban"	measured data	16	2013
Andorra	Escaldes-Engordany	18	2014	"1 station, urban"	measured data	11	2014
Argentina	Buenos Aires	26	2015	"3 stations, residencial commercial"	measured data	14	2015
Australia	Adelaide	17	2014	"7 stations, Residential (outer urban) and residential/light industry"	measured data	7	2014
Australia	Albany	16	2014	"1 station, rural (small town)"	measured data	7	2014
Australia	Albury	16	2014	"1 station, Rural (small town)"	measured data	7	2014
Australia	Ayr	20	2014	"1 station, Rural (small town)"	measured data	9	2014
Australia	Bathurst	15	2014	"1 station, Rural (small town)"	measured data	6	2014
Australia	Brisbane	16	2014	"8 stations, Residential (inner urban)"	measured data	6	2014
Australia	Bunbury	16	2014	"1 station, rural (small town)"	measured data	8	2014
Australia	Busselton	17	2014	-	converted from PM2.5	7	2014
Australia	Canberra	16	2014	-	converted from PM2.5	7	2014
Australia	Central Coast	13	2014	-	converted from PM2.5	6	2014
Australia	Collie	19	2014	"1 station, rural (small town)"	measured data	8	2014
Australia	Darwin	19	2014	-	converted from PM2.5	8	2014
Australia	"Devonport, Tasmania"	15	2013	-	converted from PM2.5	6	2013
Australia	Geelong	18	2014	"1 station, Residential/Light Industry"	measured data	8	2014
Australia	Geraldton	22	2014	"1 station, rural (small town)"	measured data	10	2014
Australia	Gladstone	14	2014	"4 stations, Residential (outer urban)"	measured data	5	2014
Australia	"Hobart, Tasmania"	14	2013	-	converted from PM2.5	6	2013
Australia	La Trobe Valley	20	2014	"2 stations, residential, rural"	measured data	10	2014
Australia	"Launceston, Tasmania"	19	2013	-	converted from PM2.5	8	2013
Australia	Lower Hunter	17	2014	-	converted from PM2.5	7	2014
Australia	Mackay	17	2014	"1 station, residential rural"	measured data	7	2014
Australia	Melbourne	19	2014	"10 stations, Residential/Light Industry"	measured data	8	2014
Australia	Moranbah	21	2014	"1 station, industrial/residential"	measured data	9	2014
Australia	Mount Isa	16	2014	"1 station, industrial/residential"	measured data	7	2014
Australia	Muswellbrook	21	2014	"1 station, Residential (outer urban)"	measured data	9	2014
Australia	Newcastle	19	2014	"3 stations, Residential (outer urban)"	measured data	8	2014
Australia	Palmerston	22	2014	-	converted from PM2.5	9	2014
Australia	Perth	17	2014	"3 stations, Residential (outer urban)"	measured data	8	2014
Australia	Singleton	21	2014	"1 station, Rural (small town)"	measured data	9	2014
Australia	Sydney	17	2014	"15 stations, Residential (outer urban)"	measured data	8	2014
Australia	Tamworth	16	2014	"1 station, Rural (small town)"	measured data	7	2014
Australia	Townsville	17	2014	"2 stations, residential"	measured data	7	2014
Australia	Upper Hunter	20	2014	-	converted from PM2.5	8	2014
Australia	Wagga Wagga	21	2014	"1 station, Rural (small town)"	measured data	8	2014
Australia	Whyalla	16	2014	"1 station, rural (small town)"	measured data	7	2014
Australia	Wollongong	17	2014	"3 stations, Residential (outer urban)"	measured data	7	2014
Australia	Wyong	15	2014	"1 station, Residential (outer urban)"	measured data	6	2014
Austria	ARNOLDSTEIN	14	2013	"1 station, industrial, suburban"	measured data	10	2013
Austria	BAD ISCHL	16	2013	-	converted from PM2.5	12	2013
Austria	BAD VöSLAU	18	2013	"1 station, background, suburban"	measured data	13	2013
Austria	BIEDERMANNSDORF	20	2013	"1 station, traffic, suburban"	measured data	15	2013
Austria	BLUDENZ	18	2013	"1 station, background, suburban"	measured data	13	2013
Austria	BRUCK AN DER MUR	24	2013	"1 station, background, suburban"	measured data	18	2013
Austria	DEUTSCHLANDSBERG	22	2013	"1 station, background, suburban"	measured data	16	2013
Austria	DORNBIRN	19	2013	"1 station, background, urban"	measured data	14	2013
Austria	EBENTHAL	20	2013	"1 station, background, rural"	measured data	15	2013
Austria	EISENSTADT	24	2013	"1 station, background, suburban"	measured data	19	2013
Austria	FELDKIRCH	23	2013	"1 station, traffic, urban"	measured data	17	2013
Austria	FüRSTENFELD	26	2013	"1 station, background, suburban"	measured data	19	2013
Austria	Gänserndorf	21	2013	"1 station, background, suburban"	measured data	15	2013
Austria	GRAZ	25	2013	"5 stations, background suburban"	measured data	19	2013
Austria	GROSSENZERSDORF	24	2013	-	converted from PM2.5	18	2013
Austria	HALL IN TIROL	24	2013	"1 station, traffic, urban"	measured data	18	2013
Austria	HALLEIN	24	2013	"1 station, traffic, urban"	measured data	18	2013
Austria	HARTBERG	24	2013	"1 station, background, suburban"	measured data	17	2013
Austria	HEITERWANG	13	2013	"1 station, traffic, rural"	measured data	10	2013
Austria	HIMBERG	23	2013	"1 station, traffic, suburban"	measured data	17	2013
Austria	HöCHST	21	2013	"1 station, traffic, rural"	measured data	16	2013
Austria	IMST	18	2013	"1 station, traffic, rural"	measured data	13	2013
Austria	INNSBRUCK	21	2013	"2 stations, traffic, urban"	measured data	14	2013
Austria	JUDENBURG	17	2013	"1 station, background, suburban"	measured data	13	2013
Austria	KAPFENBERG	18	2013	"1 station, background, urban"	measured data	13	2013
Austria	KEMATEN	20	2013	"1 station, traffic, urban"	measured data	15	2013
Austria	KLAGENFURT	23	2013	"2 stations, traffic, urban"	measured data	14	2013
Austria	KLOSTERNEUBURG	27	2013	"1 station, traffic, urban"	measured data	20	2013
Austria	KNITTELFELD	21	2013	"1 station, background, urban"	measured data	16	2013
Austria	KREMS	24	2013	"1 station, background, urban"	measured data	17	2013
Austria	KUFSTEIN	17	2013	"1 station, traffic, urban"	measured data	13	2013
